0,1
5.100,1.400
4.900,1.400
4.700,1.300
4.600,1.500
5.000,1.400
5.400,1.700
4.600,1.400
5.000,1.500
4.400,1.400
4.900,1.500
5.400,1.500
4.800,1.600
4.800,1.400
4.300,1.100
5.800,1.200
5.700,1.500
5.400,1.300
5.100,1.400
5.700,1.700
5.100,1.500
5.400,1.700
5.100,1.500
4.600,1.000
5.100,1.700
4.800,1.900
5.000,1.600
5.000,1.600
5.200,1.500
5.200,1.400
4.700,1.600
4.800,1.600
5.400,1.500
5.200,1.500
5.500,1.400
4.900,1.500
5.000,1.200
5.500,1.300
4.900,1.400
4.400,1.300
5.100,1.500
5.000,1.300
4.500,1.300
4.400,1.300
5.000,1.600
5.100,1.900
4.800,1.400
5.100,1.600
4.600,1.400
5.300,1.500
5.000,1.400
7.000,4.700
6.400,4.500
6.900,4.900
5.500,4.000
6.500,4.600
5.700,4.500
6.300,4.700
4.900,3.300
6.600,4.600
5.200,3.900
5.000,3.500
5.900,4.200
6.000,4.000
6.100,4.700
5.600,3.600
6.700,4.400
5.600,4.500
5.800,4.100
6.200,4.500
5.600,3.900
5.900,4.800
6.100,4.000
6.300,4.900
6.100,4.700
6.400,4.300
6.600,4.400
6.800,4.800
6.700,5.000
6.000,4.500
5.700,3.500
5.500,3.800
5.500,3.700
5.800,3.900
6.000,5.100
5.400,4.500
6.000,4.500
6.700,4.700
6.300,4.400
5.600,4.100
5.500,4.000
5.500,4.400
6.100,4.600
5.800,4.000
5.000,3.300
5.600,4.200
5.700,4.200
5.700,4.200
6.200,4.300
5.100,3.000
5.700,4.100
6.300,6.000
5.800,5.100
7.100,5.900
6.300,5.600
6.500,5.800
7.600,6.600
4.900,4.500
7.300,6.300
6.700,5.800
7.200,6.100
6.500,5.100
6.400,5.300
6.800,5.500
5.700,5.000
5.800,5.100
6.400,5.300
6.500,5.500
7.700,6.700
7.700,6.900
6.000,5.000
6.900,5.700
5.600,4.900
7.700,6.700
6.300,4.900
6.700,5.700
7.200,6.000
6.200,4.800
6.100,4.900
6.400,5.600
7.200,5.800
7.400,6.100
7.900,6.400
6.400,5.600
6.300,5.100
6.100,5.600
7.700,6.100
6.300,5.600
6.400,5.500
6.000,4.800
6.900,5.400
6.700,5.600
6.900,5.100
5.800,5.100
6.800,5.900
6.700,5.700
6.700,5.200
6.300,5.000
6.500,5.200
6.200,5.400
5.900,5.100
